w	gain	V(onoise)
8.374714380132080e+05	2.544069e-01	9.642365e-11
8.394020090612693e+05	2.538613e-01	9.621680e-11
8.413370305352228e+05	2.533166e-01	9.601033e-11
8.432765126943596e+05	2.527730e-01	9.580425e-11
8.452204658216211e+05	2.522304e-01	9.559854e-11
8.471689002236532e+05	2.516887e-01	9.539321e-11
8.491218262308611e+05	2.511481e-01	9.518826e-11
8.510792541974642e+05	2.506085e-01	9.498369e-11
8.530411945015506e+05	2.500698e-01	9.477950e-11
8.550076575451326e+05	2.495322e-01	9.457568e-11
8.569786537542014e+05	2.489955e-01	9.437225e-11
8.589541935787827e+05	2.484599e-01	9.416919e-11
8.609342874929921e+05	2.479252e-01	9.396650e-11
8.629189459950903e+05	2.473916e-01	9.376420e-11
8.649081796075392e+05	2.468589e-01	9.356227e-11
8.669019988770573e+05	2.463272e-01	9.336071e-11
8.689004143746761e+05	2.457965e-01	9.315954e-11
8.709034366957953e+05	2.452668e-01	9.295873e-11
8.729110764602401e+05	2.447381e-01	9.275831e-11
8.749233443123165e+05	2.442103e-01	9.255825e-11
8.769402509208685e+05	2.436836e-01	9.235858e-11
8.789618069793341e+05	2.431578e-01	9.215927e-11
8.809880232058023e+05	2.426331e-01	9.196034e-11
8.830189103430698e+05	2.421093e-01	9.176179e-11
8.850544791586981e+05	2.415865e-01	9.156360e-11
8.870947404450703e+05	2.410646e-01	9.136579e-11
8.891397050194488e+05	2.405438e-01	9.116836e-11
8.911893837240321e+05	2.400239e-01	9.097129e-11
8.932437874260126e+05	2.395051e-01	9.077460e-11
8.953029270176343e+05	2.389871e-01	9.057827e-11
8.973668134162503e+05	2.384702e-01	9.038232e-11
8.994354575643808e+05	2.379543e-01	9.018674e-11
9.015088704297713e+05	2.374393e-01	8.999153e-11
9.035870630054502e+05	2.369253e-01	8.979668e-11
9.056700463097878e+05	2.364123e-01	8.960221e-11
9.077578313865542e+05	2.359002e-01	8.940811e-11
9.098504293049780e+05	2.353891e-01	8.921438e-11
9.119478511598052e+05	2.348790e-01	8.902101e-11
9.140501080713575e+05	2.343699e-01	8.882801e-11
9.161572111855919e+05	2.338617e-01	8.863538e-11
9.182691716741592e+05	2.333545e-01	8.844313e-11
9.203860007344638e+05	2.328483e-01	8.825123e-11
9.225077095897227e+05	2.323430e-01	8.805970e-11
9.246343094890249e+05	2.318387e-01	8.786854e-11
9.267658117073914e+05	2.313354e-01	8.767774e-11
9.289022275458348e+05	2.308330e-01	8.748732e-11
9.310435683314193e+05	2.303316e-01	8.729725e-11
9.331898454173204e+05	2.298311e-01	8.710754e-11
9.353410701828856e+05	2.293316e-01	8.691821e-11
9.374972540336946e+05	2.288331e-01	8.672923e-11
9.396584084016194e+05	2.283355e-01	8.654063e-11
9.418245447448854e+05	2.278389e-01	8.635238e-11
9.439956745481318e+05	2.273432e-01	8.616450e-11
9.461718093224727e+05	2.268485e-01	8.597698e-11
9.483529606055580e+05	2.263548e-01	8.578982e-11
9.505391399616348e+05	2.258620e-01	8.560302e-11
9.527303589816083e+05	2.253701e-01	8.541658e-11
9.549266292831036e+05	2.248792e-01	8.523051e-11
9.571279625105273e+05	2.243893e-01	8.504480e-11
9.593343703351291e+05	2.239003e-01	8.485944e-11
9.615458644550635e+05	2.234122e-01	8.467444e-11
9.637624565954522e+05	2.229251e-01	8.448981e-11
9.659841585084461e+05	2.224390e-01	8.430553e-11
9.682109819732875e+05	2.219538e-01	8.412161e-11
9.704429387963730e+05	2.214695e-01	8.393805e-11
9.726800408113152e+05	2.209862e-01	8.375484e-11
9.749222998790063e+05	2.205038e-01	8.357200e-11
9.771697278876809e+05	2.200224e-01	8.338951e-11
9.794223367529784e+05	2.195418e-01	8.320737e-11
9.816801384180068e+05	2.190623e-01	8.302559e-11
9.839431448534058e+05	2.185836e-01	8.284418e-11
9.862113680574101e+05	2.181059e-01	8.266311e-11
9.884848200559135e+05	2.176292e-01	8.248239e-11
9.907635129025321e+05	2.171534e-01	8.230203e-11
9.930474586786686e+05	2.166785e-01	8.212202e-11
9.953366694935762e+05	2.162045e-01	8.194238e-11
